"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","Class"
"1",0.0662241550316625,0.0464637216754406,0.0283360036621653,0.0225986114290074,0.0182803082322423,0.0123292896925307,0.0089417868314641,0.00846875715266651,0.00985732814526589,0.0103913939116503,0.0109254596780346,0.0102082856488899,0.0112916762035554,0.0102845807583734,0.00944533455405508,0.00915541313801785,0.00781261921110857,0.00837720302128634,0.00819409475852598,0.00785839627679866,0.00996414129854276,0.0107881284809644,0.010452429999237,0.011261158159762,0.0119783321889067,0.0122835126268406,0.01196307316701,0.0150453955901427,0.0208438239108873,0.0321965362020294,0.0589761196307317,"Background"
"2",0.0871290150301366,0.0679484245059892,0.0561837186236362,0.0537422751201648,0.0463111314564736,0.0373540856031128,0.0334172579537652,0.0352635996032654,0.0380712596322576,0.0340886549172198,0.0316777294575418,0.0337224383916991,0.0355992980849928,0.0355840390630961,0.0329442282749676,0.0302433813992523,0.0300144960708019,0.032120241092546,0.032120241092546,0.0311894407568475,0.0322880903334096,0.0316319523918517,0.0310978866254673,0.0301823453116655,0.0310063324940871,0.0307927061875334,0.0340886549172198,0.0368352788586252,0.0502937361715114,0.0738536659800107,0.114259555962463,"Background"
"3",0.0581979095140002,0.0371557183184558,0.0200198367284657,0.0156252384222171,0.0128633554589151,0.00964370183871214,0.0063935301747158,0.0055542839703975,0.00697337300679027,0.00704966811627375,0.00686655985351339,0.00601205462729839,0.00630197604333562,0.00636301213092241,0.005981536583505,0.00588998245212482,0.0051117723353933,0.00541695277332723,0.00456244754711223,0.00502021820401312,0.00526436255436027,0.00613412680247196,0.00537117570763714,0.00560006103608759,0.00708018616006714,0.00746166170748455,0.007690547035935,0.0101319905394064,0.0153658350499733,0.0223239490348669,0.0414587624933242,"Background"
"4",0.0826276035706111,0.0506446936751354,0.0239414053559167,0.0159456778820478,0.0138551918822004,0.0122377355611505,0.00872816052491035,0.00967421988250553,0.0101167315175097,0.0112306401159686,0.0100251773861295,0.0110322728313115,0.011108567940795,0.011261158159762,0.0102845807583734,0.00842298008697642,0.0081025406271458,0.00836194399938964,0.00860608834973678,0.00807202258335241,0.00865186541542687,0.00941481651026169,0.00914015411612116,0.00917067215991455,0.00796520943007553,0.00927748531319142,0.00878919661249714,0.0115663385976959,0.017593652246891,0.0278782330052644,0.0536659800106813,"Background"
"5",0.0633707179369802,0.0439917601281758,0.0274204623483635,0.0252536812390326,0.024933241779202,0.0228885328450446,0.0190432593270771,0.0191958495460441,0.0183718623636225,0.0190737773708705,0.0180666819256886,0.0183718623636225,0.0190890363927672,0.0179293507286183,0.0169222552834363,0.0161440451667048,0.0150606546120394,0.0155184252689403,0.0159151598382544,0.0151674677653162,0.0164034485389487,0.017593652246891,0.0178988326848249,0.0170290684367132,0.0186312657358663,0.0168001831082628,0.0174105439841306,0.0198672465094987,0.0277866788738842,0.0395819028000305,0.0648355840390631,"Background"
"6",0.0767071030746929,0.0555580987258717,0.0354314488441291,0.0278629739833677,0.0251773861295491,0.018951705195697,0.0130312046997787,0.0121004043640803,0.0112764171816587,0.0120241092545968,0.0115205615320058,0.0108186465247578,0.0104676890211337,0.0108949416342412,0.0101777676050965,0.00959792477302205,0.00846875715266651,0.00778210116731518,0.00926222629129473,0.00918593118181125,0.0102388036926833,0.0126955062180514,0.0129549095902953,0.0139009689478904,0.0140535591668574,0.0162050812542916,0.0175478751812009,0.0206912336919203,0.0279850461585412,0.0427405203326467,0.0746623941405356,"Background"
"7",0.0664682993820096,0.0419165331502251,0.0193789578088045,0.0135500114442664,0.0137788967727169,0.0120088502327001,0.0103761348897536,0.00962844281681544,0.0102235446707866,0.0109407186999313,0.00904859998474098,0.0093842984664683,0.00971999694819562,0.00947585259784848,0.00875867856870375,0.00804150453955901,0.00793469138628214,0.00761425192645151,0.00863660639353018,0.00857557030594339,0.0106660563057908,0.0126344701304646,0.0117952239261463,0.0112458991378653,0.0123903257801175,0.010955977721828,0.0119783321889067,0.0136568245975433,0.0175783932249943,0.026642252231632,0.0455634393835355,"Background"
"8",0.0671549553673609,0.0451056687266346,0.0255893797207599,0.0180361638818952,0.0145571068894484,0.0111238269626917,0.00772106507972839,0.00714122224765393,0.00708018616006714,0.00805676356145571,0.00753795681696803,0.00741588464179446,0.00772106507972839,0.00794995040817884,0.00717174029144732,0.00628671702143893,0.00521858548867018,0.00546272983901732,0.00488288700694285,0.00549324788281071,0.00621042191195544,0.00611886778057527,0.00662241550316625,0.00627145799954223,0.00778210116731518,0.00822461280231937,0.00929274433508812,0.0133058670939193,0.0192568856336309,0.0344853894865339,0.0633401998931868,"Background"
"9",0.0810711833371481,0.0563515678644999,0.0316319523918517,0.0272373540856031,0.0281376363775082,0.0213778896772717,0.0147096971084154,0.0131380178530556,0.0142824444953079,0.0152132448310063,0.0157015335317006,0.015884641794461,0.0168307011520562,0.0172121766994736,0.0161135271229114,0.0151522087434195,0.0137636377508202,0.0137331197070268,0.0146181429770352,0.0155642023346304,0.0173952849622339,0.0187380788891432,0.0196688792248417,0.0199588006408789,0.0206912336919203,0.0210269321736477,0.0196688792248417,0.0255283436331731,0.0366063935301747,0.0580300602731365,0.102906843671321,"Background"
"10",0.0687724116884108,0.0470130464637217,0.0269474326695659,0.022369726100557,0.0212252994583047,0.0171816586556802,0.0120241092545968,0.0115205615320058,0.0114900434882124,0.0110170138094148,0.011108567940795,0.0114900434882124,0.0114290074006256,0.0116273746852827,0.010406652933547,0.00978103303578241,0.00997940032043946,0.00968947890440223,0.0100099183642329,0.0114442664225223,0.0130617227435721,0.014175631342031,0.0135042343785763,0.0142977035172045,0.0147859922178988,0.0158999008163577,0.016083009079118,0.0211642633707179,0.0297398336766613,0.0464026855878538,0.0797283894102388,"Background"
